repo	status	returncode	seconds	outdir	stdout_tail	stderr_tail
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/0sec-labs__foxguard	timeout_45s	timeout	45.0	/tmp/codex-code-intel/codegraphcontext/0sec-labs__foxguard-20260707-063610	Indexing with CodeGraphContext | repo: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/0sec-labs__foxguard | out:  /tmp/codex-code-intel/codegraphcontext/0sec-labs__foxguard-20260707-063610 | 	
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/1broseidon__cymbal	timeout_45s	timeout	45.0	/tmp/codex-code-intel/codegraphcontext/1broseidon__cymbal-20260707-063655	Indexing with CodeGraphContext | repo: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/1broseidon__cymbal | out:  /tmp/codex-code-intel/codegraphcontext/1broseidon__cymbal-20260707-063655 | 	
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/71__vscode-tree-sitter-api	complete	0	6.7	/tmp/codex-code-intel/codegraphcontext/71__vscode-tree-sitter-api-20260707-063740	Indexing with CodeGraphContext | repo: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/71__vscode-tree-sitter-api | out:  /tmp/codex-code-intel/codegraphcontext/71__vscode-tree-sitter-api-20260707-063740 | removed first-time repo artifact: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/71__vscode-tree-sitter-api/.cgcignore | verified: indexed query outputs do not mention gitrefrepo/ | CodeGraphContext smoke complete | /tmp/codex-code-intel/codegraphcontext/71__vscode-tree-sitter-api-20260707-063740 | 	
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/AB498__code-context-provider-mcp	complete	0	7.7	/tmp/codex-code-intel/codegraphcontext/AB498__code-context-provider-mcp-20260707-063747	Indexing with CodeGraphContext | repo: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/AB498__code-context-provider-mcp | out:  /tmp/codex-code-intel/codegraphcontext/AB498__code-context-provider-mcp-20260707-063747 | verified: indexed query outputs do not mention gitrefrepo/ | CodeGraphContext smoke complete | /tmp/codex-code-intel/codegraphcontext/AB498__code-context-provider-mcp-20260707-063747 | 	
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/AKrichevski__Lodebrook	timeout_45s	timeout	45.0	/tmp/codex-code-intel/codegraphcontext/AKrichevski__Lodebrook-20260707-063755	Indexing with CodeGraphContext | repo: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/AKrichevski__Lodebrook | out:  /tmp/codex-code-intel/codegraphcontext/AKrichevski__Lodebrook-20260707-063755 | 	
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Aaron-212__tree-sitter-mojo	timeout_45s	timeout	45.0	/tmp/codex-code-intel/codegraphcontext/Aaron-212__tree-sitter-mojo-20260707-063840	Indexing with CodeGraphContext | repo: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Aaron-212__tree-sitter-mojo | out:  /tmp/codex-code-intel/codegraphcontext/Aaron-212__tree-sitter-mojo-20260707-063840 | 	
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/AbstractMachinesLab__tree-sitter-erlang	timeout_45s	timeout	45.0	/tmp/codex-code-intel/codegraphcontext/AbstractMachinesLab__tree-sitter-erlang-20260707-063925	Indexing with CodeGraphContext | repo: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/AbstractMachinesLab__tree-sitter-erlang | out:  /tmp/codex-code-intel/codegraphcontext/AbstractMachinesLab__tree-sitter-erlang-20260707-063925 | 	
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/AbstractMachinesLab__tree-sitter-sexp	complete	0	13.9	/tmp/codex-code-intel/codegraphcontext/AbstractMachinesLab__tree-sitter-sexp-20260707-064010	Indexing with CodeGraphContext | repo: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/AbstractMachinesLab__tree-sitter-sexp | out:  /tmp/codex-code-intel/codegraphcontext/AbstractMachinesLab__tree-sitter-sexp-20260707-064010 | removed first-time repo artifact: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/AbstractMachinesLab__tree-sitter-sexp/.cgcignore | verified: indexed query outputs do not mention gitrefrepo/ | CodeGraphContext smoke complete | /tmp/codex-code-intel/codegraphcontext/AbstractMachinesLab__tree-sitter-sexp-20260707-064010 | 	
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Aerijo__tree-sitter-biber	complete	0	21.0	/tmp/codex-code-intel/codegraphcontext/Aerijo__tree-sitter-biber-20260707-064023	Indexing with CodeGraphContext | repo: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Aerijo__tree-sitter-biber | out:  /tmp/codex-code-intel/codegraphcontext/Aerijo__tree-sitter-biber-20260707-064023 | removed first-time repo artifact: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Aerijo__tree-sitter-biber/.cgcignore | verified: indexed query outputs do not mention gitrefrepo/ | CodeGraphContext smoke complete | /tmp/codex-code-intel/codegraphcontext/Aerijo__tree-sitter-biber-20260707-064023 | 	
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Aider-AI__aider	timeout_45s	timeout	45.0	/tmp/codex-code-intel/codegraphcontext/Aider-AI__aider-20260707-064045	Indexing with CodeGraphContext | repo: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Aider-AI__aider | out:  /tmp/codex-code-intel/codegraphcontext/Aider-AI__aider-20260707-064045 | 	
